unit,Geopolitical entity (reporting),TIME_PERIOD,category code,OBS_VALUE,Aggregated category name,NUTS_code
T,Albania,2014,W10,1228884.0,mixed waste,
T,Austria,2004,W01-05,8159.0,chemical and medical,AUT
T,Austria,2004,W071,185802.0,glass,AUT
T,Austria,2004,W072,601100.0,paper,AUT
T,Austria,2004,W074,127000.0,plastic,AUT
T,Austria,2004,W075,121305.0,wood,AUT
T,Austria,2004,W077_08,65978.0,weee + batt + vehicles,AUT
T,Austria,2004,W09,0.0,organic waste,AUT
T,Austria,2004,W10,1631194.0,mixed waste,AUT
T,Austria,2004,W11,0.0,common sludges,AUT
T,Austria,2004,W12-13,0.0,mineral waste,AUT
T,Austria,2006,W01-05,8054.0,chemical and medical,AUT
T,Austria,2006,W071,195400.0,glass,AUT
T,Austria,2006,W072,654800.0,paper,AUT
T,Austria,2006,W074,129200.0,plastic,AUT
T,Austria,2006,W075,142960.0,wood,AUT
T,Austria,2006,W077_08,92858.0,weee + batt + vehicles,AUT
T,Austria,2006,W09,0.0,organic waste,AUT
T,Austria,2006,W10,1688157.0,mixed waste,AUT
T,Austria,2006,W11,0.0,common sludges,AUT
T,Austria,2006,W12-13,0.0,mineral waste,AUT
T,Austria,2008,W01-05,7734.0,chemical and medical,AUT
T,Austria,2008,W071,208461.0,glass,AUT
T,Austria,2008,W072,703784.0,paper,AUT
T,Austria,2008,W074,142013.0,plastic,AUT
T,Austria,2008,W075,162901.0,wood,AUT
T,Austria,2008,W077_08,96216.0,weee + batt + vehicles,AUT
T,Austria,2008,W09,0.0,organic waste,AUT
T,Austria,2008,W10,1643285.0,mixed waste,AUT
T,Austria,2008,W11,0.0,common sludges,AUT
T,Austria,2008,W12-13,0.0,mineral waste,AUT
T,Austria,2010,W01-05,8115.0,chemical and medical,AUT
T,Austria,2010,W06,117400.0,metal,AUT
T,Austria,2010,W071,222851.0,glass,AUT
T,Austria,2010,W072,677000.0,paper,AUT
T,Austria,2010,W074,151456.0,plastic,AUT
T,Austria,2010,W075,197204.0,wood,AUT
T,Austria,2010,W077_08,88985.0,weee + batt + vehicles,AUT
T,Austria,2010,W09,464120.0,organic waste,AUT
T,Austria,2010,W10,1519578.0,mixed waste,AUT
T,Austria,2010,W11,440.0,common sludges,AUT
T,Austria,2010,W12-13,1132621.0,mineral waste,AUT
T,Austria,2012,W01-05,14160.0,chemical and medical,AUT
T,Austria,2012,W06,117196.0,metal,AUT
T,Austria,2012,W071,221230.0,glass,AUT
T,Austria,2012,W072,638564.0,paper,AUT
T,Austria,2012,W074,152657.0,plastic,AUT
T,Austria,2012,W075,220888.0,wood,AUT
T,Austria,2012,W077_08,80573.0,weee + batt + vehicles,AUT
T,Austria,2012,W09,878231.0,organic waste,AUT
T,Austria,2012,W10,1667267.0,mixed waste,AUT
T,Austria,2012,W11,0.0,common sludges,AUT
T,Austria,2012,W12-13,0.0,mineral waste,AUT
T,Austria,2014,W01-05,14411.0,chemical and medical,AUT
T,Austria,2014,W06,114918.0,metal,AUT
T,Austria,2014,W071,227143.0,glass,AUT
T,Austria,2014,W072,677600.0,paper,AUT
T,Austria,2014,W074,164240.0,plastic,AUT
T,Austria,2014,W075,234184.0,wood,AUT
T,Austria,2014,W077_08,80803.0,weee + batt + vehicles,AUT
T,Austria,2014,W09,936360.0,organic waste,AUT
T,Austria,2014,W10,1687166.0,mixed waste,AUT
T,Austria,2014,W11,0.0,common sludges,AUT
T,Austria,2014,W12-13,8.0,mineral waste,AUT
T,Austria,2016,W01-05,14717.0,chemical and medical,AUT
T,Austria,2016,W06,122897.0,metal,AUT
T,Austria,2016,W071,223975.0,glass,AUT
T,Austria,2016,W072,655631.0,paper,AUT
T,Austria,2016,W074,168877.0,plastic,AUT
T,Austria,2016,W075,253958.0,wood,AUT
T,Austria,2016,W077_08,87115.0,weee + batt + vehicles,AUT
T,Austria,2016,W09,1018113.0,organic waste,AUT
T,Austria,2016,W10,1683308.0,mixed waste,AUT
T,Austria,2016,W11,0.0,common sludges,AUT
T,Austria,2016,W12-13,0.0,mineral waste,AUT
T,Austria,2018,W01-05,13171.0,chemical and medical,AUT
T,Austria,2018,W06,124347.0,metal,AUT
T,Austria,2018,W071,236091.0,glass,AUT
T,Austria,2018,W072,654178.0,paper,AUT
T,Austria,2018,W074,176528.0,plastic,AUT
T,Austria,2018,W075,283696.0,wood,AUT
T,Austria,2018,W077_08,119549.0,weee + batt + vehicles,AUT
T,Austria,2018,W09,1038854.0,organic waste,AUT
T,Austria,2018,W10,1722103.0,mixed waste,AUT
T,Austria,2018,W11,0.0,common sludges,AUT
T,Austria,2018,W12-13,1.0,mineral waste,AUT
T,Austria,2020,W01-05,14593.0,chemical and medical,AUT
T,Austria,2020,W06,142057.0,metal,AUT
T,Austria,2020,W071,260145.0,glass,AUT
T,Austria,2020,W072,624853.0,paper,AUT
T,Austria,2020,W074,185931.0,plastic,AUT
T,Austria,2020,W075,292962.0,wood,AUT
